OPDEF1,count(1)
ISCSLU0000000069004310,1
ISCSLU0000000069004311,1
ISCSLU0000000069004410,1
ISCSLU0000000069004411,3
ISCSLU0000000069004510,1
ISCSLU0000000069004511,1
ISCSLU0000000069004610,1
ISCSLU0000000069004710,1
ISCSLU0000000069004711,1
ISCSLU0000000069004810,1
ISCSLU0000000069004811,1
ISCSLU0000000069004910,1
ISCSLU0000000069005010,1
ISCSLU0000000069005012,1
ISCSLU0000000069005110,1
ISCSLU0000000069005112,1
ISCSLU0000000069005210,1
ISCSLU0000000069005310,1
ISCSLU0000000069005411,1
ISCSLU0000000069005510,1
ISCSLU0000000069005611,1
ISCSLU0000000069005710,1
ISCSLU0000000069005810,1
ISCSLU0000000069005910,4
ISCSLU0000000069005911,1
ISCSLU0000000069006010,1
ISCSLU0000000069006210,1
ISCSLU0000000069006310,1
ISCSLU0000000069006410,1
ISCSLU0000000069006510,1
ISCSLU0000000069006610,1
ISCSLU0000000069006710,1
ISCSLU0000000069006711,1
ISCSLU0000000069006810,1
ISCSLU0000000069007010,1
ISCSLU0000000069007110,1
ISCSLU0000000069007310,1
ISCSLU0000000069007611,1
ISCSLU00000000690512,1
ISCSLU00000000690712,1
ISCSLU000000006910,1
ISCSLU0000000069100108,1
ISCSLU0000000069100308,1
ISCSLU0000000069100808,1
ISCSLU00000000691010,1
ISCSLU00000000691012,2
ISCSLU0000000069101408,1
ISCSLU000000006911,1
ISCSLU0000000069110,1
ISCSLU0000000069111,2
ISCSLU00000000691110,4
ISCSLU00000000691111,3
ISCSLU00000000691112,1
ISCSLU00000000691113,1
ISCSLU00000000691210,2
ISCSLU00000000691211,1
ISCSLU00000000691212,1
ISCSLU00000000691310,3
ISCSLU00000000691312,2
ISCSLU00000000691410,2
ISCSLU00000000691411,1
ISCSLU00000000691412,1
ISCSLU00000000691510,1
ISCSLU00000000691511,2
ISCSLU00000000691512,1
ISCSLU00000000691611,2
ISCSLU00000000691612,2
ISCSLU00000000691613,1
ISCSLU00000000691710,1
ISCSLU00000000691711,1
ISCSLU00000000691712,1
ISCSLU00000000691713,1
ISCSLU00000000691810,1
ISCSLU00000000691812,2
ISCSLU00000000691909,1
ISCSLU00000000691910,1
ISCSLU00000000692010,1
ISCSLU00000000692011,4
ISCSLU00000000692012,1
ISCSLU0000000069210,1
ISCSLU0000000069211,2
ISCSLU00000000692110,1
ISCSLU00000000692111,2
ISCSLU00000000692112,3
ISCSLU0000000069212,1
ISCSLU0000000069213,1
ISCSLU00000000692211,2
ISCSLU00000000692309,1
ISCSLU00000000692311,3
ISCSLU00000000692312,2
ISCSLU00000000692313,1
ISCSLU00000000692411,2
ISCSLU00000000692412,1
ISCSLU00000000692511,2
ISCSLU00000000692512,1
ISCSLU00000000692611,2
ISCSLU00000000692710,1
ISCSLU00000000692711,1
ISCSLU00000000692712,1
ISCSLU00000000692810,2
ISCSLU00000000692811,3
ISCSLU00000000692812,1
ISCSLU00000000692910,1
ISCSLU00000000692911,1
ISCSLU00000000693003,1
ISCSLU00000000693010,1
ISCSLU00000000693012,2
ISCSLU0000000069310,1
ISCSLU0000000069311,2
ISCSLU00000000693111,1
ISCSLU0000000069312,2
ISCSLU0000000069313,1
ISCSLU00000000693210,2
ISCSLU00000000693307,1
ISCSLU00000000693310,1
ISCSLU00000000693411,1
ISCSLU00000000693412,1
ISCSLU00000000693510,1
ISCSLU00000000693511,2
ISCSLU00000000693512,1
ISCSLU00000000693513,1
ISCSLU00000000693609,1
ISCSLU00000000693610,1
ISCSLU00000000693611,1
ISCSLU00000000693709,1
ISCSLU00000000693711,1
ISCSLU00000000693712,1
ISCSLU00000000693809,1
ISCSLU00000000693810,1
ISCSLU00000000693811,2
ISCSLU00000000693812,1
ISCSLU00000000693909,1
ISCSLU00000000693910,4
ISCSLU00000000693911,2
ISCSLU00000000694009,3
ISCSLU00000000694010,1
ISCSLU00000000694011,1
ISCSLU00000000694013,1
ISCSLU0000000069410,2
ISCSLU00000000694109,1
ISCSLU0000000069411,2
ISCSLU00000000694110,2
ISCSLU00000000694111,2
ISCSLU0000000069412,1
ISCSLU00000000694209,3
ISCSLU00000000694210,1
ISCSLU00000000694211,2
ISCSLU00000000694308,1
ISCSLU00000000694309,1
ISCSLU00000000694310,4
ISCSLU00000000694311,1
ISCSLU00000000694312,1
ISCSLU00000000694313,1
ISCSLU00000000694409,1
ISCSLU00000000694411,2
ISCSLU00000000694413,1
ISCSLU00000000694509,1
ISCSLU00000000694510,3
ISCSLU00000000694511,1
ISCSLU00000000694512,1
ISCSLU00000000694513,1
ISCSLU00000000694613,1
ISCSLU00000000694709,1
ISCSLU00000000694713,1
ISCSLU00000000694810,3
ISCSLU00000000694813,1
ISCSLU00000000694910,2
ISCSLU00000000694911,1
ISCSLU00000000695010,2
ISCSLU00000000695011,1
ISCSLU0000000069510,2
ISCSLU0000000069511,2
ISCSLU00000000695110,1
ISCSLU00000000695112,1
ISCSLU00000000695211,1
ISCSLU00000000695412,1
ISCSLU00000000695511,1
ISCSLU00000000695512,1
ISCSLU00000000695611,1
ISCSLU00000000695710,1
ISCSLU00000000695711,1
ISCSLU00000000695810,2
ISCSLU00000000695811,2
ISCSLU00000000695812,1
ISCSLU00000000695912,1
ISCSLU00000000696010,1
ISCSLU0000000069610,2
ISCSLU0000000069611,3
ISCSLU0000000069612,1
ISCSLU00000000696211,1
ISCSLU00000000696310,1
ISCSLU00000000696311,2
ISCSLU00000000696411,2
ISCSLU00000000696512,2
ISCSLU00000000696910,1
ISCSLU00000000696911,2
ISCSLU00000000697011,1
ISCSLU0000000069710,1
ISCSLU0000000069711,2
ISCSLU00000000697411,1
ISCSLU00000000697511,1
ISCSLU00000000697512,1
ISCSLU00000000697811,1
ISCSLU0000000069810,4
ISCSLU00000000698112,1
ISCSLU0000000069812,9
ISCSLU00000000698511,1
ISCSLU00000000698811,2
ISCSLU0000000069910,1
ISCSLU0000000069911,1
ISCSLU0000000069912,1
ISCSLU0000000070,1705
ISCSLU0000000070000111,2
ISCSLU0000000070000112,3
ISCSLU0000000070000212,1
ISCSLU0000000070000312,1
ISCSLU0000000070000411,2
ISCSLU0000000070000511,2
ISCSLU0000000070000512,1
ISCSLU0000000070000610,1
ISCSLU0000000070000611,1
ISCSLU0000000070000612,2
ISCSLU0000000070000712,1
ISCSLU0000000070000811,2
ISCSLU0000000070000812,1
ISCSLU0000000070000911,1
ISCSLU0000000070000912,1
ISCSLU0000000070001011,1
ISCSLU0000000070001111,2
ISCSLU0000000070001211,1
ISCSLU0000000070001410,1
ISCSLU0000000070001411,2
ISCSLU0000000070001412,1
ISCSLU0000000070001511,2
ISCSLU0000000070001610,1
ISCSLU0000000070001711,1
ISCSLU0000000070001712,1
ISCSLU0000000070001812,1
ISCSLU0000000070001910,2
ISCSLU0000000070001911,2
ISCSLU0000000070001912,1
ISCSLU0000000070002011,15
ISCSLU0000000070002012,1
ISCSLU0000000070002111,2
ISCSLU0000000070002211,3
ISCSLU0000000070002212,1
ISCSLU0000000070002311,2
ISCSLU0000000070002411,1
ISCSLU0000000070002412,1
ISCSLU0000000070002511,2
ISCSLU0000000070002512,1
ISCSLU0000000070002611,1
ISCSLU0000000070002810,1
ISCSLU0000000070002811,3
ISCSLU0000000070002910,1
ISCSLU0000000070002911,2
ISCSLU0000000070003010,1
ISCSLU0000000070003011,1
ISCSLU0000000070003111,2
ISCSLU0000000070003211,1
ISCSLU0000000070003311,1
ISCSLU0000000070003411,1
ISCSLU0000000070003510,1
ISCSLU0000000070003610,1
ISCSLU0000000070003710,1
ISCSLU0000000070003810,1
ISCSLU0000000070003910,1
ISCSLU0000000070004010,1
ISCSLU0000000070004011,1
ISCSLU0000000070004110,2
ISCSLU0000000070004111,1
ISCSLU0000000070004211,1
ISCSLU0000000070004310,1
ISCSLU0000000070004311,1
ISCSLU0000000070004410,2
ISCSLU0000000070004411,1
ISCSLU0000000070004510,1
ISCSLU0000000070004610,1
ISCSLU0000000070004611,1
ISCSLU0000000070004710,1
ISCSLU0000000070004711,1
ISCSLU0000000070004810,1
ISCSLU0000000070004811,1
ISCSLU0000000070005010,1
ISCSLU0000000070005011,1
ISCSLU0000000070005211,1
ISCSLU0000000070005310,2
ISCSLU0000000070005410,1
ISCSLU0000000070005610,1
ISCSLU0000000070005910,1
ISCSLU0000000070006310,1
ISCSLU0000000070006510,1
ISCSLU0000000070006710,1
ISCSLU0000000070007510,1
ISCSLU0000000070008710,1
ISCSLU0000000070008810,2
ISCSLU0000000070008910,1
ISCSLU0000000070009010,1
ISCSLU0000000070009310,1
ISCSLU0000000070009410,1
ISCSLU0000000070009510,1
ISCSLU0000000070009610,1
ISCSLU0000000070009810,1
ISCSLU0000000070009910,1
ISCSLU0000000070010010,1
ISCSLU000000007010,1
ISCSLU00000000701010,1
ISCSLU00000000701011,3
ISCSLU000000007010208,1
ISCSLU000000007011,1
ISCSLU0000000070110,2
ISCSLU00000000701108,1
ISCSLU0000000070111,1
ISCSLU00000000701110,2
ISCSLU00000000701111,1
ISCSLU0000000070112,1
ISCSLU00000000701210,1
ISCSLU00000000701211,3
ISCSLU00000000701212,1
ISCSLU00000000701310,2
ISCSLU00000000701311,3
ISCSLU00000000701411,3
ISCSLU00000000701412,2
ISCSLU00000000701508,1
ISCSLU00000000701510,1
ISCSLU00000000701511,4
ISCSLU00000000701610,2
ISCSLU00000000701611,2
ISCSLU00000000701612,1
ISCSLU00000000701710,1
ISCSLU00000000701711,2
ISCSLU00000000701809,1
ISCSLU00000000701810,3
ISCSLU00000000701811,3
ISCSLU00000000701812,1
ISCSLU00000000701909,1
ISCSLU00000000701910,2
ISCSLU00000000701911,2
ISCSLU00000000701912,2
ISCSLU00000000702008,1
ISCSLU00000000702010,1
ISCSLU00000000702011,6
ISCSLU00000000702108,1
ISCSLU0000000070211,2
ISCSLU00000000702110,2
ISCSLU0000000070212,2
ISCSLU00000000702208,1
ISCSLU00000000702210,2
ISCSLU00000000702308,1
ISCSLU00000000702309,1
ISCSLU00000000702310,1
ISCSLU00000000702311,6
ISCSLU00000000702312,1
ISCSLU00000000702409,1
ISCSLU00000000702410,2
ISCSLU00000000702411,1
ISCSLU00000000702510,1
ISCSLU00000000702511,1
ISCSLU00000000702608,1
ISCSLU00000000702610,2
ISCSLU00000000702611,2
ISCSLU00000000702612,1
ISCSLU00000000702710,1
ISCSLU00000000702711,3
ISCSLU00000000702810,1
ISCSLU00000000702812,1
ISCSLU00000000702910,1
ISCSLU00000000702911,2
ISCSLU00000000703011,1
