rule_id,table,columns,check,required,valid,tags,length,errorMessage
27,tc_part_type,MAC,length,0,0,,"{\"max\": 25}","Column(s) ['MAC'] missing. Table has the following columns: ['PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'NSN', 'MATERIALASSETCODE', 'LEVEL1DESC', 'LEVEL2DESC', 'LEVEL3DESC', 'LEVEL4DESC', 'PRIMARYUSAGECOUNTER', 'PREFERREDSUPPORT', 'LEARCODE', 'FUELTYPE', 'ESPSPECIFIC', 'ESPCOMMON', 'EQUIPMENTFAMILYGROUP', 'EQUIPMENTCATEGORY', 'EQUIPMENTTYPE', 'EQUIPMENTHEIGHT', 'EQUIPMENTWIDTH', 'DESIGNGROSSVEHWEIGHT', 'EQUIPWEIGHTTYPE', 'EQUIPMENTUNLADENWEIGHT', 'PROJECTTEAMNAME', 'PROJECTTEAMUIN', 'SPARECOST', 'EQUIPMENTLENGTH', 'IPTUIN', 'GROSSTAREWEIGHT', 'MAXAUTHMASS', 'UNLADENWEIGHT', 'COMMONESPNUMBER', 'EQUIPSUPPORTPUBNUMBER', 'LEARCODEDESCRIPTION', 'SUPPORTDETAILS', 'PARTTYPE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'DESIGNGROSSVEHICLEWEIGHT', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
46,tc_part_type,OBSOLETE,length,0,0,,"{\"max\": 5}","Column(s) ['OBSOLETE'] missing. Table has the following columns: ['PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'NSN', 'MATERIALASSETCODE', 'LEVEL1DESC', 'LEVEL2DESC', 'LEVEL3DESC', 'LEVEL4DESC', 'PRIMARYUSAGECOUNTER', 'PREFERREDSUPPORT', 'LEARCODE', 'FUELTYPE', 'ESPSPECIFIC', 'ESPCOMMON', 'EQUIPMENTFAMILYGROUP', 'EQUIPMENTCATEGORY', 'EQUIPMENTTYPE', 'EQUIPMENTHEIGHT', 'EQUIPMENTWIDTH', 'DESIGNGROSSVEHWEIGHT', 'EQUIPWEIGHTTYPE', 'EQUIPMENTUNLADENWEIGHT', 'PROJECTTEAMNAME', 'PROJECTTEAMUIN', 'SPARECOST', 'EQUIPMENTLENGTH', 'IPTUIN', 'GROSSTAREWEIGHT', 'MAXAUTHMASS', 'UNLADENWEIGHT', 'COMMONESPNUMBER', 'EQUIPSUPPORTPUBNUMBER', 'LEARCODEDESCRIPTION', 'SUPPORTDETAILS', 'PARTTYPE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'DESIGNGROSSVEHICLEWEIGHT', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
47,tc_part_type,OBSOLETEDBYMJDI,length,0,0,,"{\"max\": 5}","Column(s) ['OBSOLETEDBYMJDI'] missing. Table has the following columns: ['PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'NSN', 'MATERIALASSETCODE', 'LEVEL1DESC', 'LEVEL2DESC', 'LEVEL3DESC', 'LEVEL4DESC', 'PRIMARYUSAGECOUNTER', 'PREFERREDSUPPORT', 'LEARCODE', 'FUELTYPE', 'ESPSPECIFIC', 'ESPCOMMON', 'EQUIPMENTFAMILYGROUP', 'EQUIPMENTCATEGORY', 'EQUIPMENTTYPE', 'EQUIPMENTHEIGHT', 'EQUIPMENTWIDTH', 'DESIGNGROSSVEHWEIGHT', 'EQUIPWEIGHTTYPE', 'EQUIPMENTUNLADENWEIGHT', 'PROJECTTEAMNAME', 'PROJECTTEAMUIN', 'SPARECOST', 'EQUIPMENTLENGTH', 'IPTUIN', 'GROSSTAREWEIGHT', 'MAXAUTHMASS', 'UNLADENWEIGHT', 'COMMONESPNUMBER', 'EQUIPSUPPORTPUBNUMBER', 'LEARCODEDESCRIPTION', 'SUPPORTDETAILS', 'PARTTYPE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'DESIGNGROSSVEHICLEWEIGHT', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
32,tc_part_type,PTNAME,length,0,0,,"{\"max\": 60}","Column(s) ['PTNAME'] missing. Table has the following columns: ['PARTTYPEID', 'EDWSOFT_DEL_IND', 'EDWEFFECTIVEFROMTS', 'EDWSTG_ROW_OP', 'LFDWENDDATE', 'NSN', 'MATERIALASSETCODE', 'LEVEL1DESC', 'LEVEL2DESC', 'LEVEL3DESC', 'LEVEL4DESC', 'PRIMARYUSAGECOUNTER', 'PREFERREDSUPPORT', 'LEARCODE', 'FUELTYPE', 'ESPSPECIFIC', 'ESPCOMMON', 'EQUIPMENTFAMILYGROUP', 'EQUIPMENTCATEGORY', 'EQUIPMENTTYPE', 'EQUIPMENTHEIGHT', 'EQUIPMENTWIDTH', 'DESIGNGROSSVEHWEIGHT', 'EQUIPWEIGHTTYPE', 'EQUIPMENTUNLADENWEIGHT', 'PROJECTTEAMNAME', 'PROJECTTEAMUIN', 'SPARECOST', 'EQUIPMENTLENGTH', 'IPTUIN', 'GROSSTAREWEIGHT', 'MAXAUTHMASS', 'UNLADENWEIGHT', 'COMMONESPNUMBER', 'EQUIPSUPPORTPUBNUMBER', 'LEARCODEDESCRIPTION', 'SUPPORTDETAILS', 'PARTTYPE', 'DELETEFLAG', 'LASTQUERIEDDATE', 'DESIGNGROSSVEHICLEWEIGHT', 'LFDWID', 'LFDWSARTDATE', 'EDWEFFECTIVETOTS', 'EDWLOADTS', 'EDWSEQ_NO']"
49,tc_part_type,PTORGDSID,in,0,0,,"{\"column\": \"TCORGDATA.ORGANISATIONDSID\"}","failed to perform join on 'PTORGDSID': Traceback (most recent call last):
  File \"/tmp/module.zip/dq/engine/runtime.py\", line 146, in create_runnable_rules_checker_df
    rule_df = rule.apply_required_joins(df, self.spark)
  File \"/tmp/module.zip/dq/engine/rules.py\", line 264, in apply_required_joins
    .table(self.other_table))
  File \"/opt/amazon/spark/python/lib/pyspark.zip/pyspark/sql/session.py\", line 1055, in table
    return DataFrame(self._jsparkSession.table(tableName), self)
