table,column,type
PENALTY_MARKS,CREATED_ON,DATE
PENALTY_MARKS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
PENALTY_MARKS,LAST_CHANGED_BY,VARCHAR2(20)
DEFAULT_AUTH_REQUIREMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WEIGHT_BALANCE_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_PROCESS_LISTS,DEFAULT_PROCESS_LIST_ID,VARCHAR2(80)
DEFAULT_PROCESS_LISTS,DEFAULT_WORK_ORDER_ID,VARCHAR2(80)
DEFAULT_PROCESS_LISTS,DEFAULT_WORK_STEP_ID,VARCHAR2(80)
DEFAULT_PROCESS_LISTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
EO_RECEIPTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_DEFINITION_PENALTIES,BASE_TASK_CODE,VARCHAR2(50)
TASK_DEFINITION_PENALTIES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ROLE_CAPABILITIES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
HOW_FOUND,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
USAGE_FORECASTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
MISSION_EFFECT_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
EQUIPMENT_STATUSES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
EQUIPMENT_STATUSES,VERSION_NUMBER,"NUMBER(22,10)"
FUELLING_DEFINITIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ONBOARD_SOFTWARE_LOGS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
READINESS_STATES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_DEFINITIONS,BASE_TASK_CODE,VARCHAR2(50)
TASK_DEFINITIONS,COMP_REMOVAL_DEFAULT_WO,VARCHAR2(50)
TASK_DEFINITIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_DEFINITIONS,EQUIPMENT_SHUTDOWN_REQUIRED,CHAR(1)
TASK_DEFINITIONS,HUMIDITY_MANDATORY,CHAR(1)
TASK_DEFINITIONS,MARK_FOR_DELETION,CHAR(1)
TASK_DEFINITIONS,PERFORM_AIA,CHAR(1)
TASK_DEFINITIONS,RESET_DUE_DATE,CHAR(1)
TASK_DEFINITIONS,RESULT_CODE_MANDATORY,CHAR(1)
TASK_DEFINITIONS,SHOP_BENCH_DEFAULT_FROM_ITEM,CHAR(1)
TASK_DEFINITIONS,STANDARDS_REQUIRED,CHAR(1)
TASK_DEFINITIONS,TEMPERATURE_MANDATORY,CHAR(1)
WORK_PACKAGE_HEADERS,CROSS_REFERENCE,VARCHAR2(20)
WORK_PACKAGE_HEADERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_PACKAGE_HEADERS,RECEIVED_SEGREGATION_CODE,VARCHAR2(20)
WORK_PACKAGE_HEADERS,REQUEST_NEED_DATE_HOLD,"NUMBER(22,3)"
WORK_PACKAGE_HEADERS,REQUEST_NEED_DATE_OFFSET,"NUMBER(22,5)"
WORK_PACKAGE_HEADERS,SELECTIVE_LOCKIN,CHAR(1)
WORK_PACKAGE_HEADERS,WBS_CONTROL,CHAR(1)
EQUIPMENT_LABELS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
MAINTAINED_POSITION_WARNING,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
UNIT_IDENTIFICATION_NUMBERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_WORK_ORDERS,APPROVAL_TEMPLATE_ID,VARCHAR2(80)
DEFAULT_WORK_ORDERS,AUTHORIZING_SOURCE,VARCHAR2(40)
DEFAULT_WORK_ORDERS,BODY_LINE_FROM,VARCHAR2(20)
DEFAULT_WORK_ORDERS,BODY_LINE_TO,VARCHAR2(20)
DEFAULT_WORK_ORDERS,DEFAULT_ORDER_SOURCE,VARCHAR2(1)
DEFAULT_WORK_ORDERS,DEFAULT_WORK_ORDER_ID,VARCHAR2(80)
DEFAULT_WORK_ORDERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_WORK_ORDERS,LOCKED_BY,VARCHAR2(20)
DEFAULT_WORK_ORDERS,LOCKED_ON,DATE
DEFAULT_WORK_ORDERS,LONG_DESCRIPTION,VARCHAR2(2000)
DEFAULT_WORK_ORDERS,LOT_PREFIX,VARCHAR2(20)
DEFAULT_WORK_ORDERS,MANUAL_UPDATE_OPERATION,CHAR(1)
DEFAULT_WORK_ORDERS,MANUAL_UPDATE_PART_LIST,CHAR(1)
DEFAULT_WORK_ORDERS,MINIMUM_FABRICATION_QUANTITY,"NUMBER(22,5)"
DEFAULT_WORK_ORDERS,PLAN_NO,VARCHAR2(35)
DEFAULT_WORK_ORDERS,PUBLISHED_BY,VARCHAR2(20)
DEFAULT_WORK_ORDERS,PUBLISHED_ON,DATE
DEFAULT_WORK_ORDERS,SEGREGATION_CODE,VARCHAR2(20)
DEFAULT_WORK_ORDERS,USABLE_FOR,VARCHAR2(1)
DEFAULT_WORK_ORDERS,USER_ACCESS_CODE,VARCHAR2(50)
DEFAULT_WORK_ORDERS,WATER_LINE_FROM,VARCHAR2(20)
DEFAULT_WORK_ORDERS,WATER_LINE_TO,VARCHAR2(20)
DEFAULT_WORK_ORDERS,WORK_LOCATION,VARCHAR2(20)
DEFAULT_WORK_ORDERS,WORK_POSITION,VARCHAR2(20)
DEFAULT_WORK_ORDERS,WORK_SECTION,VARCHAR2(20)
DEFAULT_WORK_ORDERS,WORK_STATION,VARCHAR2(20)
DEFAULT_WORK_ORDERS,WORK_SUB_POSITION,VARCHAR2(20)
WEIGHT_BALANCE_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_PENALTIES,BASE_TASK_CODE,VARCHAR2(50)
TASK_PENALTIES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
RAF_UNIT_IDENTIFICATIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
NCM_TYPE_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
RELATED_WORK_ORDERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ALTERNATE_STATES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SANCTION_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CLOCKING_TIMES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
MOD_TI_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_SUPP_SERVICINGS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_ORDERS,AUTHORIZING_SOURCE,VARCHAR2(40)
WORK_ORDERS,BASIC_TASK_UNIT,VARCHAR2(3)
WORK_ORDERS,CURRENT_WORK_BAY,VARCHAR2(20)
WORK_ORDERS,DEFAULT_WORK_ORDER_ID,VARCHAR2(80)
WORK_ORDERS,DEPOT_PARTNER_DODAAC,VARCHAR2(6)
WORK_ORDERS,DIRECT_SHIP_PART_REQUEST,VARCHAR2(20)
WORK_ORDERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_ORDERS,DOWN_DATE_TIME,DATE
WORK_ORDERS,EXTERNAL_ITEM_ID,VARCHAR2(20)
WORK_ORDERS,EXTERNAL_SYSTEM,VARCHAR2(20)
WORK_ORDERS,FMS_CLSSA_MRRL_DATE,DATE
WORK_ORDERS,HUMIDITY,"NUMBER(22,15)"
WORK_ORDERS,INOPERATIVE,CHAR(1)
WORK_ORDERS,LABOR_DEPARTMENT,VARCHAR2(20)
WORK_ORDERS,LABOR_OVERHEAD_PERCENT,"NUMBER(22,15)"
WORK_ORDERS,LOT_NO,VARCHAR2(20)
WORK_ORDERS,LOT_SIZE,"NUMBER(22,10)"
WORK_ORDERS,MAINTENANCE_DOCUMENT,VARCHAR2(20)
WORK_ORDERS,MATERIAL_OVERHEAD_PERCENT,"NUMBER(22,15)"
