,db,table,column,completeness,dataType,dataTypeBool,dataTypeFloat,dataTypeInt,dataTypeStr,dataTypeUnknown,distinctValues,min,max,stdDev,hist,hasHist
38,GoldESP,AIRCRAFT_TYPES,AIRCRAFT_TYPE,1.0,String,0,0,0,64,0,62,,,,"[{""value"":""C6"",""count"":1,""ratio"":0.015625},{""value"":""L8"",""count"":1,""ratio"":0.015625},{""value"":""LG"",""count"":1,""ratio"":0.015625},{""value"":""G1"",""count"":1,""ratio"":0.015625},{""value"":""SG"",""count"":1,""ratio"":0.015625},{""value"":""H2"",""count"":1,""ratio"":0.015625},{""value"":""S6"",""count"":1,""ratio"":0.015625},{""value"":""WB"",""count"":1,""ratio"":0.015625},{""value"":""A4"",""count"":1,""ratio"":0.015625},{""value"":""LX"",""count"":1,""ratio"":0.015625},{""value"":""9A"",""count"":1,""ratio"":0.015625},{""value"":""6C"",""count"":1,""ratio"":0.015625},{""value"":""GZ"",""count"":1,""ratio"":0.015625},{""value"":""WP"",""count"":1,""ratio"":0.015625},{""value"":""M2"",""count"":1,""ratio"":0.015625},{""value"":""P2"",""count"":1,""ratio"":0.015625},{""value"":""WK"",""count"":1,""ratio"":0.015625},{""value"":""WA"",""count"":1,""ratio"":0.015625},{""value"":""5A"",""count"":1,""ratio"":0.015625},{""value"":""WL"",""count"":1,""ratio"":0.015625},{""value"":""S7"",""count"":1,""ratio"":0.015625},{""value"":""EH"",""count"":1,""ratio"":0.015625},{""value"":""I6"",""count"":1,""ratio"":0.015625},{""value"":""WT"",""count"":1,""ratio"":0.015625},{""value"":""P8"",""count"":1,""ratio"":0.015625},{""value"":""MN"",""count"":1,""ratio"":0.015625},{""value"":""2M"",""count"":1,""ratio"":0.015625},{""value"":""P1"",""count"":1,""ratio"":0.015625},{""value"":""L9"",""count"":1,""ratio"":0.015625},{""value"":""DU"",""count"":1,""ratio"":0.015625},{""value"":""S3"",""count"":1,""ratio"":0.015625},{""value"":""WM"",""count"":1,""ratio"":0.015625},{""value"":""A2"",""count"":1,""ratio"":0.015625},{""value"":""I3"",""count"":1,""ratio"":0.015625},{""value"":""C4"",""count"":1,""ratio"":0.015625},{""value"":""S4"",""count"":1,""ratio"":0.015625},{""value"":""WS"",""count"":1,""ratio"":0.015625},{""value"":""M4"",""count"":1,""ratio"":0.015625},{""value"":""WD"",""count"":1,""ratio"":0.015625},{""value"":""A1"",""count"":1,""ratio"":0.015625},{""value"":""H8"",""count"":1,""ratio"":0.015625},{""value"":""A6"",""count"":1,""ratio"":0.015625},{""value"":""L3"",""count"":1,""ratio"":0.015625},{""value"":""SS"",""count"":1,""ratio"":0.015625},{""value"":""TT"",""count"":1,""ratio"":0.015625},{""value"":""C3"",""count"":1,""ratio"":0.015625},{""value"":""PA"",""count"":1,""ratio"":0.015625},{""value"":""L7"",""count"":1,""ratio"":0.015625},{""value"":""S5"",""count"":1,""ratio"":0.015625},{""value"":""WN"",""count"":1,""ratio"":0.015625},{""value"":""3A"",""count"":1,""ratio"":0.015625},{""value"":""H3"",""count"":1,""ratio"":0.015625},{""value"":""WC"",""count"":1,""ratio"":0.015625},{""value"":""C5"",""count"":1,""ratio"":0.015625},{""value"":""CK"",""count"":1,""ratio"":0.015625},{""value"":""A3"",""count"":1,""ratio"":0.015625},{""value"":""I4"",""count"":1,""ratio"":0.015625},{""value"":""S2"",""count"":1,""ratio"":0.015625},{""value"":""WG"",""count"":1,""ratio"":0.015625},{""value"":""W1"",""count"":1,""ratio"":0.015625},{""value"":""C2"",""count"":1,""ratio"":0.015625},{""value"":""M1"",""count"":1,""ratio"":0.015625},{""value"":""M3"",""count"":1,""ratio"":0.015625},{""value"":""AH"",""count"":1,""ratio"":0.015625}]",True
39,GoldESP,AIRCRAFT_TYPES,DESCRIPTION,1.0,String,0,0,0,64,0,65,,,,"[{""value"":""INTERMED MERLIN MK.4"",""count"":1,""ratio"":0.015625},{""value"":""SEAKING MK.6"",""count"":1,""ratio"":0.015625},{""value"":""LYNX MK.9 (OBS)"",""count"":1,""ratio"":0.015625},{""value"":""WAREHOUSE ENG MAN"",""count"":1,""ratio"":0.015625},{""value"":""CHINOOK MK5"",""count"":1,""ratio"":0.015625},{""value"":""APACHE-64E"",""count"":1,""ratio"":0.015625},{""value"":""MERLIN MK.4A"",""count"":1,""ratio"":0.015625},{""value"":""CHINOOK MK6A"",""count"":1,""ratio"":0.015625},{""value"":""W/KEEPER ATOLS (OBS)"",""count"":1,""ratio"":0.015625},{""value"":""DUMMY STRUCTURE"",""count"":1,""ratio"":0.015625},{""value"":""WILDCAT HMA"",""count"":1,""ratio"":0.015625},{""value"":""W/KEEPER GCS"",""count"":1,""ratio"":0.015625},{""value"":""SEAKING MK.6C"",""count"":1,""ratio"":0.015625},{""value"":""SEAKING MK.2 (OBS)"",""count"":1,""ratio"":0.015625},{""value"":""SHAR FA2 NEW (OBS)"",""count"":1,""ratio"":0.015625},{""value"":""W/KEEPER ARRESTOR"",""count"":1,""ratio"":0.015625},{""value"":""LYNX MK.3 & 3S"",""count"":1,""ratio"":0.015625},{""value"":""GAZELLE MK.1"",""count"":1,""ratio"":0.015625},{""value"":""W/KEEPER ATOLS"",""count"":1,""ratio"":0.015625},{""value"":""WILDCAT NAVY/ARMY"",""count"":1,""ratio"":0.015625},{""value"":""CHINOOK MK4"",""count"":1,""ratio"":0.015625},{""value"":""PUMA MK 1"",""count"":1,""ratio"":0.015625},{""value"":""MERLIN MK.4"",""count"":1,""ratio"":0.015625},{""value"":""SEAKING MK.3"",""count"":1,""ratio"":0.015625},{""value"":""STORMSHADOW"",""count"":1,""ratio"":0.015625},{""value"":""LYNX MK.7"",""count"":1,""ratio"":0.015625},{""value"":""MERLIN MK.3A"",""count"":1,""ratio"":0.015625},{""value"":""LYNX MK9A"",""count"":1,""ratio"":0.015625},{""value"":""MERLIN MK.2"",""count"":1,""ratio"":0.015625},{""value"":""LYNX"",""count"":1,""ratio"":0.015625},{""value"":""INTERIM CHINOOK MK6A"",""count"":1,""ratio"":0.015625},{""value"":""W/KEEPER UAV"",""count"":1,""ratio"":0.015625},{""value"":""LYNX MK.8"",""count"":1,""ratio"":0.015625},{""value"":""PUMA"",""count"":1,""ratio"":0.015625},{""value"":""SEAKING MK.3A"",""count"":1,""ratio"":0.015625},{""value"":""MERLIN MK.1"",""count"":1,""ratio"":0.015625},{""value"":""SEAKING MK.7"",""count"":1,""ratio"":0.015625},{""value"":""INT MERLIN MK.2-OBS"",""count"":1,""ratio"":0.015625},{""value"":""GAZELLE"",""count"":1,""ratio"":0.015625},{""value"":""SEAKING"",""count"":1,""ratio"":0.015625},{""value"":""GULF LYNX"",""count"":1,""ratio"":0.015625},{""value"":""APACHE 500 (OBS)"",""count"":1,""ratio"":0.015625},{""value"":""CHINOOK MK6"",""count"":1,""ratio"":0.015625},{""value"":""MERLIN MK.1-OBS"",""count"":1,""ratio"":0.015625},{""value"":""SEAKING MK.4"",""count"":1,""ratio"":0.015625},{""value"":""TESTING"",""count"":1,""ratio"":0.015625},{""value"":""CHINOOK MK3"",""count"":1,""ratio"":0.015625},{""value"":""PUMA MK 2"",""count"":1,""ratio"":0.015625},{""value"":""INTERIM MERLIN MK.3"",""count"":1,""ratio"":0.015625},{""value"":""W/KEEPER PATE"",""count"":1,""ratio"":0.015625},{""value"":""HARRIER T8 (OBS)"",""count"":1,""ratio"":0.015625},{""value"":""W/KEEPER GCS (OBS)"",""count"":1,""ratio"":0.015625},{""value"":""MERLIN MK.3"",""count"":1,""ratio"":0.015625},{""value"":""APACHE MK.1"",""count"":1,""ratio"":0.015625},{""value"":""CHINOOK MK2"",""count"":1,""ratio"":0.015625},{""value"":""SEAKING MK.5"",""count"":1,""ratio"":0.015625},{""value"":""SHAR FA2 (OBS)"",""count"":1,""ratio"":0.015625},{""value"":""W/KEEPER GDT"",""count"":1,""ratio"":0.015625},{""value"":""W/KEEPER UAV (OBS)"",""count"":1,""ratio"":0.015625},{""value"":""APACHE"",""count"":1,""ratio"":0.015625},{""value"":""CHINOOK"",""count"":1,""ratio"":0.015625},{""value"":""POSEIDON MK1"",""count"":1,""ratio"":0.015625},{""value"":""MERLIN"",""count"":1,""ratio"":0.015625},{""value"":""WILDCAT"",""count"":1,""ratio"":0.015625}]",True
40,GoldESP,AIRCRAFT_TYPES,EDWEFFECTIVEFROMTS,1.0,String,0,0,0,64,0,2,,,,"[{""value"":""16-DEC-20"",""count"":63,""ratio"":0.984375},{""value"":""08-MAR-22"",""count"":1,""ratio"":0.015625}]",True
41,GoldESP,AIRCRAFT_TYPES,EDWEFFECTIVETOTS,0.0,Unknown,0,0,0,0,64,0,,,,,False
42,GoldESP,AIRCRAFT_TYPES,EDWLOADTS,1.0,String,0,0,0,64,0,2,,,,"[{""value"":""09-MAR-22"",""count"":1,""ratio"":0.015625},{""value"":""16-DEC-20"",""count"":63,""ratio"":0.984375}]",True
43,GoldESP,AIRCRAFT_TYPES,EDWSEQ_NO,1.0,Integral,0,0,0,0,0,2,1.0,2.0,0.12401959270615269,"[{""value"":""2"",""count"":1,""ratio"":0.015625},{""value"":""1"",""count"":63,""ratio"":0.984375}]",True
44,GoldESP,AIRCRAFT_TYPES,EDWSOFT_DEL_IND,1.0,Integral,0,0,0,0,0,1,0.0,0.0,0.0,"[{""value"":""0"",""count"":64,""ratio"":1.0}]",True
45,GoldESP,AIRCRAFT_TYPES,EDWSTG_ROW_OP,1.0,Integral,0,0,0,0,0,2,1.0,2.0,0.12401959270615269,"[{""value"":""2"",""count"":1,""ratio"":0.015625},{""value"":""1"",""count"":63,""ratio"":0.984375}]",True
46,GoldESP,AIRCRAFT_TYPES,LAST_CHANGED_ON,0.453125,String,0,0,0,29,35,8,,,,"[{""value"":""26-JAN-15"",""count"":1,""ratio"":0.015625},{""value"":""11-FEB-15"",""count"":10,""ratio"":0.15625},{""value"":""NullValue"",""count"":35,""ratio"":0.546875},{""value"":""29-NOV-07"",""count"":5,""ratio"":0.078125},{""value"":""11-APR-18"",""count"":9,""ratio"":0.140625},{""value"":""08-MAR-22"",""count"":1,""ratio"":0.015625},{""value"":""16-APR-14"",""count"":1,""ratio"":0.015625},{""value"":""20-APR-07"",""count"":1,""ratio"":0.015625},{""value"":""14-NOV-19"",""count"":1,""ratio"":0.015625}]",True
47,GoldESP,AIRCRAFT_TYPES,VERSION_NUMBER,1.0,Integral,0,0,0,0,0,2,1.0,2.0,0.17399263633843817,"[{""value"":""2"",""count"":2,""ratio"":0.03125},{""value"":""1"",""count"":62,""ratio"":0.96875}]",True
